year,BAC_0.00,BAC_0.01_0.07,BAC_OVER_0.08,BAC_over_0.01,Total 
1982,19771,2912,21113,24025,43945
1983,19787,2588,20051,22639,42589
1984,21429,3007,19638,22645,44257
1985,22589,2974,18125,21098,43825
1986,22896,3487,19554,23041,46087
1987,24186,3238,18813,22051,46390
1988,25164,3156,18611,21767,47087
1989,25152,2793,17521,20314,45582
1990,23823,2901,17705,20607,44599
1991,23025,2480,15827,18307,41508
1992,22726,2352,14049,16401,39250
1993,23979,2300,13739,16039,40150
1994,24948,2236,13390,15626,40716
1995,25768,2416,13478,15893,41817
1996,26052,2415,13451,15866,42065
1997,26902,2216,12757,14973,42013
1998,26477,2353,12546,14899,41501
1999,26798,2235,12555,14790,41717
2000,26082,2422,13324,15746,41945
2001,26334,2441,13290,15731,42196
2002,27080,2321,13472,15793,43005
2003,27328,2327,13096,15423,42884
2004,27413,2212,13099,15311,42836
2005,27423,2404,13582,15985,43510
2006,26633,2479,13491,15970,42708
2007,25611,2494,13041,15534,41259
2008,23499,2115,11711,13826,37423
2009,21051,1972,10759,12731,33883
2010,21005,1771,10136,11906,32999
2011,20848,1662,9865,11527,32479
2012,21563,1782,10336,12118,33782
2013,20865,1834,10084,11918,32893
2014,20913,1800,9943,11743,32744
2015,23165,1930,10280,12210,35484
2016,24732,1985,10996,12981,37806
2017,24280,1873,10874,12747,37133
