year,fatal,percent.fatal,injury,percent.injury,property.damage,percent.property.damage,total
1988,"42,130",0.6,"2,233,000",32.4,"4,611,000",67,"6,887,000"
1989,"40,741",0.6,"2,153,000",32.4,"4,459,000",67,"6,653,000"
1990,"39,836",0.6,"2,122,000",32.8,"4,309,000",66.6,"6,471,000"
1991,"36,937",0.6,"2,008,000",32.8,"4,073,000",66.6,"6,117,000"
1992,"34,942",0.6,"1,991,000",33.2,"3,974,000",66.2,"6,000,000"
1993,"35,780",0.6,"2,022,000",33.1,"4,048,000",66.3,"6,106,000"
1994,"36,254",0.6,"2,123,000",32.7,"4,336,000",66.8,"6,496,000"
1995,"37,241",0.6,"2,217,000",33.1,"4,446,000",66.4,"6,699,000"
1996,"37,494",0.6,"2,238,000",33.1,"4,494,000",66.4,"6,770,000"
1997,"37,324",0.6,"2,149,000",32.4,"4,438,000",67,"6,624,000"
1998,"37,107",0.6,"2,029,000",32,"4,269,000",67.4,"6,335,000"
1999,"37,140",0.6,"2,054,000",32.7,"4,188,000",66.7,"6,279,000"
2000,"37,526",0.6,"2,070,000",32.4,"4,286,000",67,"6,394,000"
2001,"37,862",0.6,"2,003,000",31.7,"4,282,000",67.7,"6,323,000"
2002,"38,491",0.6,"1,929,000",30.5,"4,348,000",68.8,"6,316,000"
2003,"38,477",0.6,"1,925,000",30.4,"4,365,000",69,"6,328,000"
2004,"38,444",0.6,"1,862,000",30.1,"4,281,000",69.3,"6,181,000"
2005,"39,252",0.6,"1,816,000",29.5,"4,304,000",69.9,"6,159,000"
2006,"38,648",0.6,"1,746,000",29.2,"4,189,000",70.1,"5,973,000"
2007,"37,435",0.6,"1,711,000",28.4,"4,275,000",71,"6,024,000"
2008,"34,172",0.6,"1,630,000",28.1,"4,146,000",71.4,"5,811,000"
2009,"30,862",0.6,"1,517,000",27.6,"3,957,000",71.9,"5,505,000"
2010,"30,296",0.6,"1,542,000",28.5,"3,847,000",71,"5,419,000"
2011,"29,867",0.6,"1,530,000",28.7,"3,778,000",70.8,"5,338,000"
2012,"31,006",0.6,"1,634,000",29.1,"3,950,000",70.3,"5,615,000"
2013,"30,202",0.5,"1,591,000",28,"4,066,000",71.5,"5,687,000"
2014,"30,056",0.5,"1,648,000",27.2,"4,387,000",72.3,"6,064,000"
2015,"32,538",0.5,"1,715,000",27.2,"4,548,000",72.2,"6,296,000"
2016,"34,748",0.5,"2,116,000",31,"4,670,000",68.5,"6,821,000"
2017,"34,247",0.5,"1,889,000",29.3,"4,530,000",70.2,"6,452,000"
